(Old/New) Family #,Family Name,Looked at?,Relevant?,Use For Inapprox?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Author Names,Paper Title,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Specificity of Runtime,Time Complexity (Worst Only),Time Encoding,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),"Approx Error ""Size"" (for figures only)",Approximation Factor Class (Mult),Approximation Factor Class (Add),Approximation Type (additive/multiplicative),Parametrized Approximation?,Type of PTAS (if PTAS),Description of Approximation,Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
31,SDD Systems Solvers,1,1,0,Inexact Laplacian Solver,311,Maximum-weight-basis (MWB) preconditioners,,1,0,O(n  log(1/ϵ) ),,,[https://onlinelibrary.wiley.com/doi/abs/10.1002/nla.343 Boman; Chen; Hendrickson; Toledo (2004)],Boman; Chen; Hendrickson; Toledo,Boman; Chen; Hendrickson; Toledo,Maximum-weight-basis preconditioners,2004,https://onlinelibrary.wiley.com/doi/abs/10.1002/nla.343,,,,0,0,2.5,"n: 3,
n^2: 2.5",3,O(n  \log(1/ϵ) ),6,"n: dimension of matrix
m: number of non-zero entries times $\log(1/\epsilon)$
epsilon: error requirement",n^2,,,Word RAM,words,2.5,"n: 3,
n^2: 2.5",O(n),Derived: The preconditioners used have $O(n)$ non-zero entries,1,0,,0,,1,\epsilon?,1,0,1.99,additive,yes,n/a,Magnitude of error (from obtained solution to real solution),0,0,,0,0,,"In mathematics, a square matrix is said to be diagonally dominant if, for every row of the matrix, the magnitude of the diagonal entry in a row is larger than or equal to the sum of the magnitudes of all the other (non-diagonal) entries in that row.",,,,,,,,,,,,,,,,,,,1,,,Numerical Analysis
31,SDD Systems Solvers,2,1,0,Inexact Laplacian Solver,312,Incremental sparsifier,,1,0,$\tilde{O}(m log n)$,,,[https://arxiv.org/abs/1102.4842 Koutis; Miller and Peng (2010)],Koutis; Miller and Peng,Koutis; Miller; Peng,A nearly-mlogn time solver for SDD linear systems,2010,https://arxiv.org/abs/1102.4842,,,,0,0,4,"m: 3,
n: 5.01,
n^2: 4",2.9,$\tilde{O}(m \log n)$,11,"n: dimension of matrix
m: number of non-zero entries times $\log(1/\epsilon)$
epsilon: error requirement",n^2,,,Word RAM,words,2.5,"n: 3,
n^2: 2.5",O(n),"Derived: Uses an auxiliary chain of graphs, which can be kept track of with a single spanning tree",1,0,,0,,1,\epsilon,1,0,1.99,additive,yes,n/a,Magnitude of error (from obtained solution to real solution),0,0,,0,0,,"In mathematics, a square matrix is said to be diagonally dominant if, for every row of the matrix, the magnitude of the diagonal entry in a row is larger than or equal to the sum of the magnitudes of all the other (non-diagonal) entries in that row.",,,,,,,,,,,,,,,,,,,1,,,Numerical Analysis
31,SDD Systems Solvers,2,1,0,Inexact Laplacian Solver,313,Incremental sparsifier,,1,0,$\tilde{O}(m log n)$,,,[https://arxiv.org/abs/1003.2958 Koutis; Miller and Peng (2011)],Koutis; Miller and Peng,Koutis; Miller; Peng,A nearly-mlogn time solver for SDD linear systems,2011,https://arxiv.org/abs/1003.2958,,,,0,0,4,"m: 3,
n: 5.01,
n^2: 4",2.9,$\tilde{O}(m \log n)$,11,"n: dimension of matrix
m: number of non-zero entries times $\log(1/\epsilon)$
epsilon: error requirement",n^2,,,Word RAM,words,2.5,"n: 3,
n^2: 2.5",O(n),"Derived: Uses an auxiliary chain of graphs, which can be kept track of with a single spanning tree",1,0,,0,,1,\epsilon,1,0,1.99,additive,yes,n/a,Magnitude of error (from obtained solution to real solution),0,0,,0,0,https://pdfs.semanticscholar.org/9038/1cb96bcee79a8bfab06def49b762baee8da3.pdf,"In mathematics, a square matrix is said to be diagonally dominant if, for every row of the matrix, the magnitude of the diagonal entry in a row is larger than or equal to the sum of the magnitudes of all the other (non-diagonal) entries in that row.",,,,,,,,,,,,,,,,,,,1,,,Numerical Analysis
31,SDD Systems Solvers,1,1,0,Inexact Laplacian Solver,314,Combinatorial multigrid,,1,0,O(n logn),,,[https://ieeexplore.ieee.org/document/5644892 Blelloch; Koutis;  Miller; Tangwongsan (2010)],Blelloch; Koutis;  Miller; Tangwongsan,Blelloch; Koutis;  Miller; Tangwongsan,Hierarchical Diagonal Blocking and Precision Reduction Applied to Combinatorial Multigrid,2010,https://ieeexplore.ieee.org/document/5644892,,,,1,4->5,2.51,"n: 4,
n^2: 2.51",3,O(n \log n),6.1,"n: dimension of matrix
m: number of non-zero entries times $\log(1/\epsilon)$
epsilon: error requirement",n^2,,,Word RAM,words,2.5,"n: 3,
n^2: 2.5,
m: 3",m + O(n/\log n),https://www.cs.cmu.edu/afs/cs.cmu.edu/Web/People/jkoutis/papers/SC10-paper.pdf,0,1,,0,,1,\epsilon?,1,0,1.99,additive,yes,n/a,Magnitude of error (from obtained solution to real solution),0,0,,0,0,,"In mathematics, a square matrix is said to be diagonally dominant if, for every row of the matrix, the magnitude of the diagonal entry in a row is larger than or equal to the sum of the magnitudes of all the other (non-diagonal) entries in that row.",,,,,,,,,,9965.784285,Inf,,19931568.57,Inf,,29897352854,Inf,,1,,,Numerical Analysis
31,SDD Systems Solvers,2,1,0,Inexact Laplacian Solver,316,Low-stretch spanning tree,,1,0,$O(m log^2 (n) loglogn log(1/ϵ) )$,,,[https://arxiv.org/pdf/1301.6628.pdf Kelner; Orecchia; Sidford; Zhu (2013)],Kelner; Orecchia; Sidford; Zhu,Kelner; Orecchia; Sidford; Zhu,"A Simple, Combinatorial Algorithm for Solving SDD Systems in Nearly-Linear Time",2013,https://arxiv.org/pdf/1301.6628.pdf,,,,0,0,4.011,"n: 5.021,
m: 3,
n^2: 4.011",3,O(m \log^2 (n) \log \log n),12.1,"n: dimension of matrix
m: number of non-zero entries times $\log(1/\epsilon)$
epsilon: error requirement",n^2,,,Word RAM,words,2.5,"n: 3,
n^2: 2.5",O(n),Derived: Uses a spanning tree of the graph that the Laplacian is for,1,0,,0,,1,\epsilon,1,0,1.99,additive,yes,n/a,Magnitude of error (from obtained solution to real solution),0,0,,0,0,,"In mathematics, a square matrix is said to be diagonally dominant if, for every row of the matrix, the magnitude of the diagonal entry in a row is larger than or equal to the sum of the magnitudes of all the other (non-diagonal) entries in that row.",,,,,,,,,,,,,,,,,,,1,,,Numerical Analysis
31,SDD Systems Solvers,2,1,0,Inexact Laplacian Solver,317,Recursive algorithm with sparse Cholesky factorization of Laplacian,,1,0,O(m),,,[https://arxiv.org/abs/1506.08204 Lee; Peng; Spielman [Theorem 5.10] (2015)],Lee; Peng; Spielman [Theorem 5.10],Lee; Peng; Spielman,Sparsified Cholesky Solvers for SDD linear systems,2015,https://arxiv.org/abs/1506.08204,2,1,https://arxiv.org/pdf/1506.08204.pdf,0,0,3,"m: 3,
n: 5,
n^2: 3",3,O(m),10,"n: dimension of matrix
m: number of non-zero entries times $\log(1/\epsilon)$
epsilon: error requirement",n^2,,,Word RAM,words,2.5,"n: 3,
n^2: 2.5",O(n),Derived: Uses an auxiliary sparse Cholesky decomposition which has $O(n)$ non-zero entries,1,0,,0,,1,\epsilon,1,0,1.99,additive,yes,n/a,Magnitude of error (from obtained solution to real solution),0,0,,0,0,,"In mathematics, a square matrix is said to be diagonally dominant if, for every row of the matrix, the magnitude of the diagonal entry in a row is larger than or equal to the sum of the magnitudes of all the other (non-diagonal) entries in that row.",,,,,,,,,,1000,Inf,,1000000,Inf,,1000000000,Inf,,1,,,Numerical Analysis
31,SDD Systems Solvers,2,1,0,Inexact Laplacian Solver,318,Support Theory (Trusses and Stiffness Matrices),,1,0,$O(n^{5/4} (log^2 (n) loglogn)^{3/4} log(1/ϵ))$,,,[https://arxiv.org/abs/cs/0703119 Daitch; Spielman (2007)],Daitch; Spielman,Daitch; Spielman,Support-Graph Preconditioners for 2-Dimensional Trusses,2007,https://arxiv.org/abs/cs/0703119,,,,0,0,2.635,"n: 4.25,
n^2: 2.635",3,O(n^{5/4} (\log^2 (n) \log\log n)^{3/4} \log(1/ϵ)),6.6,"n: dimension of matrix
epsilon: error requirement",n^2,,,Word RAM,words,2.5,"n: 3,
n^2: 2.5",O(n),Derived: Uses an auxiliary sparse Cholesky decomposition which has $O(n)$ non-zero entries,1,0,,0,,1,\epsilon,1,0,1.99,additive,yes,n/a,Magnitude of error (from obtained solution to real solution),0,0,,0,0,,"In mathematics, a square matrix is said to be diagonally dominant if, for every row of the matrix, the magnitude of the diagonal entry in a row is larger than or equal to the sum of the magnitudes of all the other (non-diagonal) entries in that row.",,,,,,,,,,,,,,,,,,,1,,,Numerical Analysis
34,Convex Optimization (Non-linear),1,1,0,ILP;MILPs,330,,0,1,0,"O(2^n*poly(n, m))? (previously O(n^3))",,,[https://www.cs.uleth.ca/~benkoczi/OR/read/cutting-stock-LP.pdf Gomory's cutting method (1953)],Gomory's cutting method,"Gilmore, Gomory",A Linear Programming Approach to the Cutting-Stock Problem,1953,https://www.cs.uleth.ca/~benkoczi/OR/read/cutting-stock-LP.pdf,2,1,http://www.math.wsu.edu/faculty/genz/364/lessons/l603.pdf,1,0,8,"n: 8,
m: 7",2,"O(2^n*poly(n, m))? (previously O(n^3))",1045,"n: number of variables
m: number of constraints
L: length of input, in bits
epsilon: error requirement",n,,,Word/Real RAM,words,3,"n: 3,
m: 5",O(nm+m^2),"See simplex algorithm, but also O(m) variables and constraints are introduced",1,0,,0,,1,\epsilon,1,0,1.99,additive,yes,n/a,Magnitude of error (from obtained solution to real solution),0,0,,0,0,https://en.wikipedia.org/wiki/Ralph_E._Gomory,Convex optimization is a subfield of mathematical optimization that studies the problem of minimizing convex functions over convex sets.,,,,,,,,,,,,,,,,,,,3,,,Numerical Analysis
34,Convex Optimization (Non-linear),1,1,0,"General, Constrained optimization",331,,0,1,0,O(n^4),,,[https://link.springer.com/content/pdf/10.1007/BFb0120703.pdf Wolfe; Lemaréchal; Kiwiel (1964)],Wolfe; Lemaréchal; Kiwiel,Wolfe; Lemaréchal; Kiwiel,A Method of Conjugate Subgradients for Minimizing Nondifferentiable Functions,1964,https://link.springer.com/content/pdf/10.1007/BFb0120703.pdf,,,,0,0,7,n: 7,3,O(n^4),40,"n: number of variables
m: number of constraints
L: length of input, in bits
epsilon: error requirement",n,,,Word RAM,words,3,"n: 3,
L: 3",O(n+L)??,"keeps track of current guess x^{(k)}, and computes bundle G^{(k)}, direction d^{(k)}, and scalar t^{(k)}?",1,0,,0,,1,\epsilon,1,0,1.99,additive,yes,n/a,Magnitude of error (from obtained solution to real solution),0,0,,0,0,,Convex optimization is a subfield of mathematical optimization that studies the problem of minimizing convex functions over convex sets.,,,,,,,,,,,,,,,,,,,3,,,Numerical Analysis
34,Convex Optimization (Non-linear),1,1,0,"General, Constrained optimization",332,,0,1,0,O(n^2 logn),,,[https://www.sciencedirect.com/science/article/abs/pii/0041555380900610 Ellipsoid method (1971)],Ellipsoid method,Khachiyan,Polynomial algorithms in linear programming,1971,https://www.sciencedirect.com/science/article/abs/pii/0041555380900610,,,,1,0,5.01,n: 5.01,3,O(n^2 \log n),21,"n: number of variables
m: number of constraints
L: length of input, in bits
epsilon: error requirement",n,,,Word RAM,words,3,"n: 3,
m: 3,
L: 3",O(nmL),see orginal paper (noting that O(alpha*log(H*alpha)) = O(L)),0,1,,0,,1,\epsilon,1,0,1.99,additive,yes,n/a,Magnitude of error (from obtained solution to real solution),0,0,,0,0,https://en.wikipedia.org/wiki/Ellipsoid_method,Convex optimization is a subfield of mathematical optimization that studies the problem of minimizing convex functions over convex sets.,,,,,,,,,,,,,,,,,,,3,,,Numerical Analysis
34,Convex Optimization (Non-linear),1,1,0,"General, Constrained optimization",333,,0,1,0,O(n^2 ),,,[https://www.springer.com/gp/book/9783642821202 Subgradient method (1981)],Subgradient method,Shor,Minimization Methods for Non-Differentiable Functions,1981,https://www.springer.com/gp/book/9783642821202,1,1,https://en.wikipedia.org/wiki/Subgradient_method,1,3->4,5,n: 5,3,O(n^2 ),20,"n: number of variables
m: number of constraints
L: length of input, in bits
epsilon: error requirement",n,,,Word/Real RAM,words,3,"n: 3,
L: 3",O(n+L)?,"keep track of current guess x^{(k)}, and needs to compute subgradient g^{(k)}",1,0,,0,,1,\epsilon,1,0,1.99,additive,yes,n/a,Magnitude of error (from obtained solution to real solution),0,0,,0,0,,Convex optimization is a subfield of mathematical optimization that studies the problem of minimizing convex functions over convex sets.,,,,,,,,,,,,,,,,,,,3,,,Numerical Analysis
34,Convex Optimization (Non-linear),1,1,0,Stochastic optimization,334,,0,1,0,O(n^2),,,[ Dual subgradients and the drift-plus-penalty method (1993)],Dual subgradients and the drift-plus-penalty method,,,1993,,,,,0,0,5,n: 5,3,O(n^2),20,"n: number of variables
m: number of constraints
V: weight parameter (and average queue size)
L: length of input, in bits
epsilon: error requirement",n,,,Word/Real RAM,words,3,"n: 3,
m: 3,
V: 3",O(Vmn)????,involves minimizing an expression with up to O(Vmn) terms per iteration?,1,0,,0,,1,\epsilon,1,0,1.99,additive,yes,n/a,Magnitude of error (from obtained solution to real solution),0,0,,0,0,https://en.wikipedia.org/wiki/Drift_plus_penalty,Convex optimization is a subfield of mathematical optimization that studies the problem of minimizing convex functions over convex sets.,,,,,,,,,,,,,,,,,,,3,,,Numerical Analysis
35,Gröbner Bases,0.001,1,0,Approximate Gröbner Bases,,,,1,0,,,,[https://ieeexplore.ieee.org/abstract/document/6169497  (2011)],,Sasaki,A Theory and an Algorithm of Approximate Gröbner Bases,2011,https://ieeexplore.ieee.org/abstract/document/6169497,,,,0,0,,,,,,n: number of variables in each polynomial,n,,,Word RAM,words,,,,,,,,0,,1,\epsilon,1,0,1.99,additive,yes,n/a,Magnitude of error on coefficients of polynomials?,0,0,,0,0,,"In mathematics, and more specifically in computer algebra, computational algebraic geometry, and computational commutative algebra, a Gröbner basis is a particular kind of generating set of an ideal in a polynomial ring K[x1, ..,xn] over a field K. ",,,,,,,,,,,,,,,,,,,1,,,Numerical Analysis
35,Gröbner Bases,0.001,1,0,Approximate Gröbner Bases,,,,1,0,,,,[https://link.springer.com/chapter/10.1007/978-1-4612-0351-3_10  (1993)],,Shirayanagi,An Algorithm to Compute Floating Point Groebner Bases,1993,https://link.springer.com/chapter/10.1007/978-1-4612-0351-3_10,,,,0,0,,,,,,n: number of variables in each polynomial,n,,,Word RAM,words,,,,,,,,0,,1,\epsilon,1,0,1.99,additive,yes,n/a,Magnitude of error on coefficients of polynomials?,0,0,,0,0,,"In mathematics, and more specifically in computer algebra, computational algebraic geometry, and computational commutative algebra, a Gröbner basis is a particular kind of generating set of an ideal in a polynomial ring K[x1, ..,xn] over a field K. ",,,,,,,,,,,,,,,,,,,1,,,Numerical Analysis
38,Optimal Binary Search Trees,1,1,0,Approximate OBST,348,,,1,0,O(n),,,[https://people.mpi-inf.mpg.de/~mehlhorn/ftp/mehlhorn3.pdf Melhorn's Approximation algorithm (1975)],Melhorn's Approximation algorithm,Melhorn,Nearly Optimal Binary Search Trees,1975,https://people.mpi-inf.mpg.de/~mehlhorn/ftp/mehlhorn3.pdf,,,,0,0,3,n: 3,3,$O(n)$,10,"H: entropy of the distribution
P_opt:
P_balanced: 
n: number of elements",n,,,,,3,n: 3,O(n),"https://people.mpi-inf.mpg.de/~mehlhorn/ftp/mehlhorn3.pdf, storing left/right subtrees' weights",0,1,,0,,1,~2.285 + 2/H (H denotes entropy of probability distribution),2.4,4,0,multiplicative,no,n/a,Ratio of found cost to optimal cost,0,0,,0,0,,an optimal binary search tree (Optimal BST); sometimes called a weight-balanced binary tree; is a binary search tree which provides the smallest possible search time (or expected search time) for a given sequence of accesses (or access probabilities). Optimal BSTs are generally divided into two types: static and dynamic.,,,,,,,,,,1000,,,,,,,,,1,,,Combinatorics
38,Optimal Binary Search Trees,2,1,0,Approximate OBST,350,,,1,0,O(n^0.6),,,[https://dl.acm.org/doi/10.5555/313852.313880 Karpinski (1996)],Karpinski,"Karpinski, Larmore, Rytter",Sequential and parallel subquadratic work algorithms for constructing approximately optimal binary search trees,1996,https://dl.acm.org/doi/10.5555/313852.313880,,,,0,0,2.6,n: 2.6,3,O(n^{0.6}),6.5,"n: number of elements
eps: approximation parameter; eps = 1/n^k",n,,0,,,1,n: 1,O(1),Derived: dynamic programming and making use of Monge matrix properties,1,0,,0,,1,eps,1,0,1.99,additive,yes,n/a,Difference between found cost and optimal cost,0,1,n,0,0,,an optimal binary search tree (Optimal BST); sometimes called a weight-balanced binary tree; is a binary search tree which provides the smallest possible search time (or expected search time) for a given sequence of accesses (or access probabilities). Optimal BSTs are generally divided into two types: static and dynamic.,,,,,,,,,,63,,,,,,,,,1,,,Combinatorics
38,Optimal Binary Search Trees,2,1,0,Approximate OBST,352,,,1,0,O(n^1.6),,,[https://www.sciencedirect.com/science/article/pii/0196677487900526 Larmore [Corollary 1.4] (1987)],Larmore [Corollary 1.4],Larmore,A subquadratic algorithm for constructing approximately optimal binary search trees,1987,https://www.sciencedirect.com/science/article/pii/0196677487900526,,,,0,0,4.6,n: 4.6,3,O(n^{1.6}),16.4,"n: number of elements
eps: approximation parameter; eps = 1/n^k",n,,0,,,3,n: 3,O(n),"Derived: Computing and storing f_{d,l} for each n elements",1,0,,0,,1,eps,1,0,1.99,additive,yes,n/a,Difference between found cost and optimal cost,0,0,,0,0,,an optimal binary search tree (Optimal BST); sometimes called a weight-balanced binary tree; is a binary search tree which provides the smallest possible search time (or expected search time) for a given sequence of accesses (or access probabilities). Optimal BSTs are generally divided into two types: static and dynamic.,,,,,,,,,,63095,,,,,,,,,1,,,Combinatorics
38,Optimal Binary Search Trees,2,1,0,Approximate OBST,,,,1,0,O(n^(1+r)),,,[https://www.sciencedirect.com/science/article/pii/0196677487900526 Larmore [Theorem 1.3] (1987)],Larmore [Theorem 1.3],Larmore,A subquadratic algorithm for constructing approximately optimal binary search trees,1987,https://www.sciencedirect.com/science/article/pii/0196677487900526,,,,0,0,4.6,n: 4.6,3,O(n^(1+r)),15.019,"n: number of elements
r: any real number between 0 and 1",n,,0,,,3,n: 3,O(n),"Derived: Computing and storing f_{d,l} for each n elements",1,0,,0,,1,O(n*(n^r/log n)^(-(1-log(phi)))),1,0,1,additive,yes,n/a,Difference between found cost and optimal cost,0,0,,0,0,,an optimal binary search tree (Optimal BST); sometimes called a weight-balanced binary tree; is a binary search tree which provides the smallest possible search time (or expected search time) for a given sequence of accesses (or access probabilities). Optimal BSTs are generally divided into two types: static and dynamic.,,,,,,,,,,63095,,,,,,,,,1,,,Combinatorics
38,Optimal Binary Search Trees,1,1,0,Approximate OBST,,,,1,0,O(n),,,[https://dl.acm.org/doi/pdf/10.1145/800116.803774 Fredman [min-max tree] (1975)],Fredman [min-max tree],Fredman,Two Applications of a Probabilistic Search Technique: Sorting X+Y and Building Balanced Search Trees,1975,https://dl.acm.org/doi/pdf/10.1145/800116.803774,,,,0,0,3,n: 3,3,O(n),10,n: number of elements,n,,,,,,,,,,,,0,,1,O(log P_(opt)) where P_(opt) is the optimal cost,2.4,0,3,additive,yes,n/a,Difference between found cost and optimal cost,0,0,,0,0,https://www.sciencedirect.com/science/article/pii/0196677487900526 (for approximation error),an optimal binary search tree (Optimal BST); sometimes called a weight-balanced binary tree; is a binary search tree which provides the smallest possible search time (or expected search time) for a given sequence of accesses (or access probabilities). Optimal BSTs are generally divided into two types: static and dynamic.,,,,,,,,,,63095,,,,,,,,,1,,,Combinatorics
38,Optimal Binary Search Trees,2,1,0,Approximate OBST,353,,,1,0,O(n),,,[https://www.sciencedirect.com/science/article/pii/0304397589901345 Levcopoulos; Lingas; Sack (1989)],Levcopoulos; Lingas; Sack,Levcopoulos; Lingas; Sack,Heuristics for optimum binary search trees and minimum weight triangulation problems,1989,https://www.sciencedirect.com/science/article/pii/0304397589901345,,,,1,5->6,3,n: 3,3,O(n),10,n: number of elements,n,,,Word RAM,words,3,n: 3,$O(n)$,Derived: Uses an auxiliary list of initial size $4n$,1,0,,0,,1,$1 + \epsilon$,1,2,0,multiplicative,yes,FPTAS,Ratio of found cost to optimal cost,1,0,,0,0,,an optimal binary search tree (Optimal BST); sometimes called a weight-balanced binary tree; is a binary search tree which provides the smallest possible search time (or expected search time) for a given sequence of accesses (or access probabilities). Optimal BSTs are generally divided into two types: static and dynamic.,,,,,,,,,,1000,,,,,,,,,1,,,Combinatorics
38,Optimal Binary Search Trees,1,1,0,Approximate OBST,354,,,1,0,O(n),,,[https://www.sciencedirect.com/science/article/pii/002001909390212R de Prisco (1993)],de Prisco,"de Prisco, de Santis",On binary search trees,1993,https://www.sciencedirect.com/science/article/pii/002001909390212R,,,,0,0,3,n: 3,3,O(n),10,"$n$: number of elements
$H$: entropy of the given distribution
$p_0$: first element
$p_n$: last element
$p_{max}$: largest element",n,,,Word RAM,words,3,n: 3,$O(n)$,"Derived: Uses an auxiliary probability distribution, and three phases that alter a single tree that eventually is the result",1,0,,0,,1,Upper bound: $H + 1 - p_0 - p_n + p_{max}$,2.4,0,3,additive,no,n/a,Difference between found cost and optimal cost,1,0,,0,0,,an optimal binary search tree (Optimal BST); sometimes called a weight-balanced binary tree; is a binary search tree which provides the smallest possible search time (or expected search time) for a given sequence of accesses (or access probabilities). Optimal BSTs are generally divided into two types: static and dynamic.,,,,,,,,,,1000,,,,,,,,,1,,,Combinatorics
38,Optimal Binary Search Trees,1,1,0,Approximate OBST,,,,1,0,O(log(n) log(1/eps)),,,[https://dl.acm.org/doi/pdf/10.1145/72935.72980  (1989)],,"Atallah, Kosaraju, Larmore, Miller, Teng",Constructing Trees in Parallel,1989,https://dl.acm.org/doi/pdf/10.1145/72935.72980,,,,0,0,2.01,n: 2.01,3,O(log(n) log(1/eps)),1,"n: number of elements
eps: approximation parameter; 0 < eps < 1/n",n,https://dl.acm.org/doi/pdf/10.1145/72935.72980,0,Word RAM,words,#VALUE!,,,,,,,0,,1,eps,1,0,1.99,additive,yes,n/a,Difference between found cost and optimal cost,0,1,n^2/(log n)^2,0,0,,an optimal binary search tree (Optimal BST); sometimes called a weight-balanced binary tree; is a binary search tree which provides the smallest possible search time (or expected search time) for a given sequence of accesses (or access probabilities). Optimal BSTs are generally divided into two types: static and dynamic.,,,,,,,,,,1000,,,,,,,,,1,,,Combinatorics
38,Optimal Binary Search Trees,1,0,0,"Approximate OBST, different costs, equiprobable elements",,,,1,0,O(nh),,,[https://link.springer.com/chapter/10.1007/3-540-48481-7_21  (1999)],,"Laber, Milidiu, Pessoa",Strategies for Searching with Different Access Costs,1999,https://link.springer.com/chapter/10.1007/3-540-48481-7_21,,,,0,0,4,n: 4,3,O(nh),10,"n: number of elements
h: height of tree produced at end of algorithm",n,https://link.springer.com/chapter/10.1007/3-540-48481-7_21,0,Word RAM,words,3,n: 3,O(n),https://link.springer.com/chapter/10.1007/3-540-48481-7_21,0,1,,0,,1,4*ln(1+n),4,6,0,multiplicative,no,n/a,Ratio of found cost to optimal cost,0,0,,0,0,,an optimal binary search tree (Optimal BST); sometimes called a weight-balanced binary tree; is a binary search tree which provides the smallest possible search time (or expected search time) for a given sequence of accesses (or access probabilities). Optimal BSTs are generally divided into two types: static and dynamic.,,,,,,,,,,1000,,,,,,,,,1,,,Combinatorics
38,Optimal Binary Search Trees,0.001,1,0,Approximate OBST,,,,1,0,,,,[https://www.sciencedirect.com/science/article/abs/pii/S0196677496900048  (1996)],,"Cohen, Fredman",Weighted Binary Trees for Concurrent Searching,1996,https://www.sciencedirect.com/science/article/abs/pii/S0196677496900048,,,,0,0,#VALUE!,,,,,n: number of elements,n,,,Word RAM,words,#VALUE!,,,,,,,0,,1,,,,,,,,,0,0,,0,0,,an optimal binary search tree (Optimal BST); sometimes called a weight-balanced binary tree; is a binary search tree which provides the smallest possible search time (or expected search time) for a given sequence of accesses (or access probabilities). Optimal BSTs are generally divided into two types: static and dynamic.,,,,,,,,,,1000,,,,,,,,,1,,,Combinatorics
38,Optimal Binary Search Trees,0.001,1,0,Approximate OBST,,,,1,0,,,,[https://www.sciencedirect.com/science/article/abs/pii/S0096300307001877  (2007)],,"Fatemi, Zamanifar, NematBakhsh",A new genetic approach to construct near-optimal binary search trees,2007,https://www.sciencedirect.com/science/article/abs/pii/S0096300307001877,,,,0,0,#VALUE!,,,,,n: number of elements,n,,,Word RAM,words,#VALUE!,,,,,,,0,,1,,,,,,,,,0,0,,0,0,,an optimal binary search tree (Optimal BST); sometimes called a weight-balanced binary tree; is a binary search tree which provides the smallest possible search time (or expected search time) for a given sequence of accesses (or access probabilities). Optimal BSTs are generally divided into two types: static and dynamic.,,,,,,,,,,1000,,,,,,,,,1,,,Combinatorics
38,Optimal Binary Search Trees,0.001,0,0,Approximate OSTT,,,,1,0,,,,[https://arxiv.org/abs/2209.08024  (2022)],,"Berendsohn, Golinsky, Kaplan, Kozma",Fast approximation of search trees on trees with centroid trees,2022,https://arxiv.org/abs/2209.08024,,,,0,0,#VALUE!,,,,,n: number of elements,n,,,Word RAM,words,#VALUE!,,,,,,,0,,1,,,,,,,,,0,0,,0,0,,an optimal binary search tree (Optimal BST); sometimes called a weight-balanced binary tree; is a binary search tree which provides the smallest possible search time (or expected search time) for a given sequence of accesses (or access probabilities). Optimal BSTs are generally divided into two types: static and dynamic.,,,,,,,,,,1000,,,,,,,,,1,,,Combinatorics
39,Nash Equilibria,1,1,0,2-player,356,,0,1,0,O(n^{(O(log n/eps^2))} (previously O(n^2 logn)????),,,[https://dl.acm.org/doi/10.1145/779928.779933 Lipton; Mehta (2003)],Lipton; Mehta,"Lipton, Markakis, Mehta",https://dl.acm.org/doi/10.1145/779928.779933,2003,https://dl.acm.org/doi/10.1145/779928.779933,,,,1,0,8,"n: 8,
m: 8,
mn: 8",2,O(n^{(O(log n/eps^2))} (previously O(n^2 logn)????),500,"n: dimension of payoff matrices
epsilon: (additive) tolerance error",mn,,0,Word RAM,words,#VALUE!,,(see sheet 2),,1,0,,0,,1,epsilon,1,0,1.99,additive,yes,n/a,error from actual equilibria values,0,0,,0,0,,"In game theory, the Nash equilibrium, named after the mathematician John Forbes Nash Jr., is a proposed solution of a non-cooperative game involving two or more players in which each player is assumed to know the equilibrium strategies of the other players, and no player has anything to gain by changing only his own strategy.",,,,,,,,,,9965784,0.0001003433348,,19931568569324,0,,2.98974E+19,0,,2,,,Robotics
38,Nash Equilibria,0,1,0,,,,,,,,,,[https://journals.flvc.org/FLAIRS/article/view/130546 Ganzfried (2022)],Ganzfried,Ganzfried,"Best Response Computation in Multiplayer
Imperfect-Information Stochastic Games",2022,https://journals.flvc.org/FLAIRS/article/view/130546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
